customer_text,support_text,customer_id,customer_tweet_id,support_tweet_id,intent,annotation_notes
@AppleSupport Pandora usually but it happens even when I’m not using any apps just on the home screen,@337320 We are here to help out. Using any specific apps when this happens? What do you need to do to get it working right again?,337320,915239,915238,,
@AppleSupport 8K+ people are as frustrated as I am. 1+ year ago you had this feature! And now it's gone! Why? How? Will it come back? https://t.co/wWyt36I8lC,@233063 Hello there. What type of device are you viewing your photos in the iCloud on? Let us know and we'll check your options to make this as convenient as possible.,233063,495110,495109,,
@AppleSupport When I️ type “I️” its changed to this https://t.co/a3ucGsMjEl,@503855 We'd like to help. Can you tell us in detail what is going on exactly?,503855,1649513,1649512,,
"@AppleSupport Since I've updated to High Sierra, I've a problem converting my videos with Quick Time, the output format does not respect the ratios and the video is not good... Do you know this issue ?",@267166 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,267166,620055,620056,,
@AppleSupport When can we expect WatchOS 4.1 release?,"Play the music you love, right from your Apple Watch. Here's how to add playlists and albums in watchOS 4
Learn more https://t.co/AT5kfmYtDh https://t.co/IiLTio7CoA",300796,756459,756460,,
@AppleSupport Thanks! 11.1.2,@181748 We'd be happy to have a look at it. Which version of iOS do you have installed on your iPhone 7. Look in Settings &gt; General &gt; About.,181748,639722,639721,,
"@AppleSupport Understood. None of the update description seemed to address my issues, so I didn't. I will now. It can't get worse. Workable mail is key.","@130461 We've released iOS 11.0.3, we'd recommend backing up and updating to the latest patch. Let us know if the issue persists.",130461,1225233,1225232,,
@AppleSupport My phone keeps skipping all music,"@524110 Let’s work together to get everything working as expected again. To start, can you tell us a bit about what is happening?",524110,1735928,1735926,,
@AppleSupport Yeah I could send photos and videos on iMessage on my Mac book to the iPhone it recently happened once I updated to high Sierra,"@182282 Are you able to use this feature in the past? If yes, when did you start to experience this issue?",182282,277467,277468,,
@AppleSupport I like this,"@352118 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 

DM us if you still need help. https://t.co/GDrqU22YpT",352118,978732,978731,,
"@AppleSupport Podcasts will stop out of nowhere, and my music will start playing.",@454037 Please tell us what's going on with your iPhone. We're anxious to help get things resolved.,454037,1439365,1439364,,
@AppleSupport It’s called Johns IPhone (IPhone X),"@265326 Hey there. Let us know which device you need to remove your saved cards from, and we'll help get this taken care of.",265326,2940362,2940361,,
"@AppleSupport fine @AppleSupport , I can write it in english. Where will you give us solutions with the iOS 11 battery problems/issues? Thanxx. Rly angry😠",@402592 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,402592,1202865,1202864,,
@AppleSupport For example the app (Fing) not found good. In this link you have more information about the problem.  Please fix this on next update of iOS. https://t.co/7KWOgoAjzF,@262398 We're happy that you reached out to us about this. We'll provide as much information as we can. Which network scanner are you referring to? We want to be sure we are on the same page.,262398,600420,600418,,
@AppleSupport Ok sure 👌,@539364 We have released 11.1. Make sure you have a backup and then go ahead and get your iPhone updated: https://t.co/80YRnjDFDk,539364,1974117,1974118,,
@AppleSupport But why are the bookmarks in folders now descending instead of ascending?,"@127861 We can help. Check out this article for help with managing bookmarks: https://t.co/lI2oBISCEq
If you have questions? DM us. https://t.co/GDrqU22YpT",127861,1981340,1981341,,
@AppleSupport @68108,@650628 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,650628,2229480,2229479,,
@AppleSupport I can not download FaceTime App sice I downloaded its disappear,@221215 What seems to be the issue?,221215,448352,448353,,
