customer_text,support_text,customer_id,customer_tweet_id,support_tweet_id
@AppleSupport Nope 🤔,@623037 Do you have any messages inside the Messages app that look like they are to someone you don't have a contact for?,623037,2112812,2112811
@AppleSupport They are not on the same iOS one is 11.0.2 and the other is 11.1.2 I am updating the iPhone 8plus now and Ithink this should fix the problem so both are on the same software version,"@276131 We'll gladly lend a hand, so you can restore all of your important data back to your new iPhone. First, can you tell us which iOS version is currently installed on this iPhone? Also, what was the iOS version installed on the device that this backup is from?",276131,656269,656268
@AppleSupport thank you,@514881 We'd be happy to help. Send us a DM with a few more details and we can start there. https://t.co/GDrqU22YpT,514881,1697420,1697419
@AppleSupport I️ thought that was a good idea but I️ can see that it isn’t working https://t.co/NBPFOxXHcE,@628699 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,628699,2137303,2137298
@AppleSupport After it says verifying it restarts automatically,@123188 We can help! What happens after it says verifying. Is that when it restarts or are you restarting it manually?,123188,32421,32420
@AppleSupport Is this what you want? https://t.co/4f0AP0c3uz,@265100 Thank you. Please send us a DM with a screenshot of Apple Watch &gt; My Watch &gt; Health. We'd like to look into this for you. https://t.co/GDrqU22YpT,265100,1932600,1932599
@AppleSupport Confirmed. Doesn't Respect volume setting  at all,"@381981 Got it. If you're still having trouble, feel free to send us a DM and we'll investigate this further with you. https://t.co/GDrqU22YpT",381981,2220889,2220888
@AppleSupport Thank you will do,@769290 We appreciate you reaching out with suggestions. Please use our feedback website to get your suggestions to the right place: https://t.co/eTPVYVFyd8,769290,2747329,2747328
"@AppleSupport Yes ""there was an error downloading the software""",@666880 We'd like to help! Are you getting any error messages?,666880,2302327,2302326
@AppleSupport @AppleSupport thanks for the info! Would have been maybe helpful to have a video on the phone to explain these things with the new IOS.,@188704 Control Center has changed the functionality for Wi-Fi and Bluetooth. There's an explanation here: https://t.co/G7BHuQnDS6,188704,304447,304446
@AppleSupport Sizin allah belanızı versin,@669812 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3w3RGR,669812,2309382,2309380
"@AppleSupport Phone shuts off when it wants no matter the battery life. And made my phone sluggish. I’m confused, aren’t updates out there to improve","@327474 Let us help out. Tell us more details about what you're experiencing. Also, which version of iOS 11 are you running?",327474,873922,873921
@AppleSupport @782410 Should I upgrade my IPhone 6 Plus to OIS 11? Thank you.,"@782410 Is iOS 11.1.2 the version currently installed on it, and have you tried any steps so far besides restarting it? What's the issue with the Messages app?",782411,2805167,2805165
@AppleSupport What about seeing that in messages on my MacBook Air?,"Seeing an i️ whenever you type “i"" in iOS 11.1? 

Fix it by installing the latest software update.
https://t.co/NX7ObPTLvY",355605,612893,612853
@AppleSupport Thank you,@488024 We'd like to know more about what you're experiencing. Let us know and we'll see how we can help.,488024,1586294,1586289
