golden_id,customer_text,support_text,customer_id,customer_tweet_id,support_tweet_id,intent,annotation_notes,predicted_intent,confidence,second_intent,second_score,intent_margin
1,@AppleSupport I’ve searched msg boards and have found my challenge to be common complaint. Troubleshooting is to no avail - please push an update to 11.1.2. Location services is running constant - only way to prevent is to block all together &amp; wifi turns on w/o request &amp; not on known networks,"@275669 We'll gladly work together with you on this. Which iOS version is currently installed? Also, can you provide us with more details about what you're experiencing? DM us your response. https://t.co/GDrqU22YpT",275669,654400,654399,software_update,,connectivity,0.3639659881591797,services_media,0.2946626543998718,0.06930333375930786
2,@AppleSupport Hi! I have a 5S and I recently updated to 11.0.2. Can’t make calls as earpiece isn’t o,@335044 We'd love to help with your iPhone. Which iPhone do you have &amp; what exact version of iOS is installed currently?,335044,905818,905816,hardware_device,,hardware_device,0.3606879711151123,general_troubleshooting,0.3078276216983795,0.05286034941673279
3,"@AppleSupport @182714 Hello sir 
Yesterday i was update my iphone 7 
Ios 11.1 
Its taking too much battery life what should i do 
Every 2 hour my mobile is off","@182714 We know how important battery life is, and we’d like to help. Send us a DM to get started. https://t.co/GDrqU22YpT",182715,279864,279863,battery_charging,,software_update,0.37764862179756165,battery_charging,0.3454188406467438,0.03222978115081787
4,"@AppleSupport It's been happening for over a year. It's very widespread and common, I'm surprised you haven't solved it. IPhone 6s.","@775653 When did this begin? Also, what device are you using with Exchange?",775653,2775914,2775913,general_troubleshooting,,services_media,0.3869320750236511,connectivity,0.38183972239494324,0.005092352628707886
5,"@AppleSupport Since I've updated to High Sierra, I've a problem converting my videos with Quick Time, the output format does not respect the ratios and the video is not good... Do you know this issue ?",@267166 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,267166,620055,620056,software_update,,services_media,0.21243789792060852,software_update,0.14089757204055786,0.07154032588005066
6,"@AppleSupport Hi, it’s solved. I think because there is pending payment on my credit card so I can’t change my card detail. Thanks",@416550 We'd be happy to look into this with you more in detail.  Reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,416550,1266538,1266537,billing_payment,,billing_payment,0.3209400773048401,general_troubleshooting,0.2871311902999878,0.033808887004852295
7,@AppleSupport iPhone 7 currently running iOS 11.0.3 !!! I really loved having the ability to control Spotify from my lock screen,@397957 Thanks for reaching out. Which iPhone model do you have and what iOS version are you currently running?,397957,1181950,1181951,services_media,,general_troubleshooting,0.37722110748291016,services_media,0.360383540391922,0.01683756709098816
8,@AppleSupport I updated my iPhone 6s to iOS 11.1 &amp; now my messages are taking forever to send &amp; say delivered in or out of WiFi 🤦🏽‍♀️,@129792 We want your iPhone to work for you. DM us details about what exactly is happening and we'll continue with you there. https://t.co/GDrqU22YpT,129792,60320,60321,connectivity,,software_update,0.3480209708213806,connectivity,0.3267529010772705,0.021268069744110107
9,@AppleSupport @476798 Help me too. This is ass!,@476798 We want to help you get things working smoothly. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT,476799,1538037,1538036,general_troubleshooting,,general_troubleshooting,0.3937993049621582,account_access,0.27649617195129395,0.11730313301086426
10,"@AppleSupport Majority of my apps won't open past the loading page or crash if they do, letters won't always appear when I type, it won't connect to wifi",@558423 Please tell us more about what you're experiencing. We want to help.,558423,1869646,1869645,app_issue,,app_issue,0.5214270353317261,services_media,0.41769593954086304,0.10373109579086304
11,@AppleSupport Correct and the screen is scrambling,@554238 Is the iPhone unable to respond when you tap on it? We just want to be sure we know exactly what is happening.,554238,1851791,1851792,hardware_device,,general_troubleshooting,0.2999264597892761,services_media,0.24609170854091644,0.05383475124835968
12,@AppleSupport A month or 2,"@204728 We'd like to help.  Which device are you using and how long ago did you notice the battery issue, please?",204728,374233,374234,general_troubleshooting,,general_troubleshooting,0.2561468183994293,account_access,0.23406925797462463,0.022077560424804688
13,@AppleSupport Is there a limit on that?,@162331 We're here for you. Your Mac will store your Time Machine backups even if you're not creating them regularly.,162331,854600,854599,general_troubleshooting,,general_troubleshooting,0.35197797417640686,account_access,0.22619101405143738,0.12578696012496948
14,"@AppleSupport This is what movies anywhere settings look like, I dont have those settings, that is why I can't connect or disconnect my itunes account https://t.co/ylONULiI1L",@164026 Take a look at this and see if this is useful to you: https://t.co/Ohh3kjdOhO,164026,1192069,1192065,services_media,,services_media,0.46499258279800415,general_troubleshooting,0.2543796896934509,0.21061289310455322
