golden_id,customer_text,expected_intent,predicted_intent,intent_correct,intent_confidence,generated_response,decision,decision_reason,top_similarity,top_reference_customer,top_reference_support,retrieved_customer_tweet_ids,leakage_detected,duplicate_customer_retrieved,own_tweet_retrieved,relevance_score,groundedness_score,helpfulness_score,overall_score,human_notes
67,"@AppleSupport Yes, both! I'm not getting an error, it just doesn't download. Every once in a while it will ask me to log into itunes again and verify with fingerprint,but then it just thinks forever and nothing happens until it asks me again",app_issue,services_media,False,0.4051713347434997,We're sorry you're having trouble with the service. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue.,ESCALATE_TO_HUMAN,Retrieval confidence is below the auto-handle threshold.,0.6916882395744324,@AppleSupport no why do u think it would be any diffrence ive been threw this a million times myself i do no how to download latest itunes it just fails when trying to install,@648612 Did any of the steps for iTunes installation help? DM is a Twitter Direct Message. You can get to us by clicking the following link. https://t.co/GDrqU22YpT,"2220747, 1327261, 2210758",False,False,False,2,4,2,2,Generic reply; does not directly address the app download/login issue.
116,@AppleSupport I bought it through t-mobile. The associate said I should have it in 2 weeks. This was 09/25/17. Order says won't ship until 10/30/17. 😡,order_purchase,order_purchase,True,0.2971048951148987,We understand your concern about your order. Please send us a DM with the relevant details so our support team can look into the issue with you.,ESCALATE_TO_HUMAN,"Sensitive issue involving account, billing, or order information.",0.7361807823181152,@AppleSupport I purchased it from T-Mobile but I am past my return period.,"@169783 Hello. We can point you in the right direction. Have you checked with the place of purchase about their exchange policy? If you purchased the iPhone directly from Apple, you'll find the exchange options here: https://t.co/BnJI0zBb3X","225156, 58797, 1336272",False,False,False,5,5,4,4,Appropriate order response and safe escalation to DM.
17,"@AppleSupport I can’t see people’s texts who don’t own Apple products. Like, the watch shows when they text me but I can’t open the message app to read it",services_media,general_troubleshooting,False,0.4746028780937195,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,AUTO_HANDLE,High similarity with relevant historical support cases.,0.7611781358718872,"@AppleSupport I’m able to receive some texts on my phone that I see on my ⌚️, but I’m missing others that I only see on the watch that don’t show on phone",@447533 We'd like to look into this with you. Are you able to send from your iPhone as expected?,"1409127, 1586296, 2545636",False,False,False,2,4,2,2,Safe but generic; does not address the missing-text/iMessage issue.
143,@AppleSupport I think I'm going to skip that one,general_troubleshooting,general_troubleshooting,True,0.3284434676170349,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,AUTO_HANDLE,High similarity with relevant historical support cases.,0.8488436341285706,@AppleSupport Noooo,@157659 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,"177011, 827911, 2319686",False,False,False,1,4,1,1,Customer is essentially ending the conversation; reply is unnecessary.
159,@AppleSupport Yeah I am. Not sure what I was on before it was iOS 10 of some sort.,general_troubleshooting,general_troubleshooting,True,0.4901070594787597,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,AUTO_HANDLE,High similarity with relevant historical support cases.,0.8914729356765747,@AppleSupport I know it was IOS 10. ?,"@782410 Thanks for those details. Let's continue with troubleshooting your iPhone freezing. Does this happen randomly when using any app, or is it only with a specific app or feature?

Do you recall the iOS version you had prior to updating to iOS 11.0?","2805171, 2684326, 2441877",False,False,False,2,4,2,2,Generic troubleshooting request; does not use the iOS-version context specifically.
128,@AppleSupport  https://t.co/Pum1l3jnAd,general_troubleshooting,general_troubleshooting,True,0.3384321630001068,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,AUTO_HANDLE,High similarity with relevant historical support cases.,0.9819827079772948,@AppleSupport  https://t.co/TksjppJzl1,@600700 We'd like to look into this. Please DM us your exact iOS version (Settings &gt; General &gt; About) and your current country. https://t.co/GDrqU22YpT,"2031495, 1687335, 2305194",False,False,False,2,4,2,2,Asks for details but does not answer the screenshot question.
142,"@AppleSupport Thanks, I’m on version 11.0.3",general_troubleshooting,general_troubleshooting,True,0.3250074386596679,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,AUTO_HANDLE,High similarity with relevant historical support cases.,0.9602723717689514,@AppleSupport I’m on the latest version of 11.0.3,@444435 We're happy to assist. What iOS version is running on your iPhone?,"1395087, 2369529, 2689532",False,False,False,2,4,2,2,Customer only provides a version; response is generic.
32,@AppleSupport Thank you! It’s on an iPhone7 Plus running on iOS 11.0.3. So far I’ve restarted my phone &amp; also toggled iMessage on and off but no luck. Lol,general_troubleshooting,general_troubleshooting,True,0.2478832900524139,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,ESCALATE_TO_HUMAN,Intent classification confidence is low.,0.765314519405365,@AppleSupport I've already updated to iOS 11.1.1. the problem occurs when I try to enable iMessage. I have already contacted my telephone operator telling me to address you. Thanks,"@727159 We've just released a new iOS version. We do recommend creating a current backup of the data on your iPhone X, prior to updating. This can help with creating a backup and updating: https://t.co/ahjigcvFRG DM us with questions. https://t.co/GDrqU22YpT","2562319, 428379, 1163814",False,False,False,3,4,3,3,Relevant troubleshooting response but misses the specific iMessage context.
19,"@AppleSupport I was doing it all through the phone, no iTunes or computers were involved. So the second situation, it couldn’t find the iCloud backup",account_access,account_access,True,0.3856433928012848,We understand you're having trouble accessing your account. Please send us a DM with more details so our support team can securely look into the issue with you.,ESCALATE_TO_HUMAN,"Sensitive issue involving account, billing, or order information.",0.7277570962905884,@AppleSupport I was downloading the backup from cloud. It couldn't be done successfully. The phone was stuck.,@607854 We could look into this with you. Did you recover a backup onto this device or was it set up as new? DM us the answer. https://t.co/GDrqU22YpT,"2055331, 1093367, 1119379",False,False,False,4,5,4,4,Appropriate account/iCloud support and safe DM escalation.
170,@AppleSupport So that screen shot I sent you is nothing to worry about?,general_troubleshooting,general_troubleshooting,True,0.3014146983623504,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,AUTO_HANDLE,High similarity with relevant historical support cases.,0.8150259852409363,@AppleSupport Sent some screen shots,@666578 We are glad you brought this to our attention. That is not us. Go ahead and meet us in DM and tell us some more details and we can work together. https://t.co/GDrqU22YpT,"2295653, 1582162, 1004454",False,False,False,3,4,3,3,Reasonably safe but does not answer whether the screenshot is safe.
